method,success_rate,collision_rate,occupancy_error,formation_error,episode,reward,actor_loss,critic_loss,stage_index,recovery_score,target_reward,avoidance_reward,collaboration_reward,recovery_reward,smoothness_penalty,consistency_penalty,success_bonus
contribution_only_priority,0.0,0.0,0.6583773839473724,0.24715434753894808,2.0,33.94431682447841,-0.9575734567642212,0.007244649543426931,0.0,0.8683245232105256,0.20723890620470048,0.9605095363855366,1.3905132637083528,4.431934150040152,0.018106947270647832,0.0177304550245604,0.0
contribution_only_priority,0.0,0.0,0.5510877597332001,0.22553104799985887,3.0,36.305796712146005,-1.2947964477539062,0.020194796808063985,0.0,0.8897824480533599,0.2717332982420921,0.9605550169944767,1.4089461290270087,4.432017531156541,0.016254075049810735,0.0018454556546551443,0.0
rare_only_priority,0.0,0.0,1.1321408343315125,0.19950072598457338,0.0,26.7230393968477,-0.652884590625763,0.055498401781446056,0.0,0.7999999999999998,0.006117142438888553,0.9613501017093659,1.4319995015740397,4.433475186467174,0.01890924589333675,0.011195933090983148,0.0
rare_only_priority,0.0,0.0,1.469395203590393,0.06174174189567566,1.0,26.839237728569945,-0.7870907253689237,0.005478451702449667,0.0,0.7999999999999998,0.008540399074554443,0.9618300855159757,1.5496546191573148,4.43435515677929,0.018586894697439238,0.0,0.0
rare_only_priority,0.0,0.0,1.4119905185699464,0.08412366795539857,2.0,26.80863702375366,-1.0273920583724976,0.012327460441738367,0.0,0.7999999999999998,0.00796363890171051,0.9617089326381683,1.530488636982441,4.434133043169977,0.019704938519720563,0.0020162408244458183,0.0
rare_only_priority,0.0,0.0,1.1246579968929291,0.02681794357299805,3.0,27.07483796402644,-1.2887934589385985,0.02863161588087678,0.0,0.8013308284282684,0.014791217088699338,0.9623140139579767,1.5799044309139245,4.435242358922959,0.01666469510668407,0.0012206121388750803,0.0
balanced_sample_ratio,0.0,0.0,1.2543499541282654,0.5962503428459168,0.0,26.420875909473573,-0.6328229323029518,0.051978828017844966,0.0,0.7999999999999998,-0.0019061517715454098,0.9600175530910497,1.093207687187195,4.431032180666928,0.01809862988039326,0.012150595615375646,0.0
balanced_sample_ratio,0.0,0.0,1.6719557905197144,0.7124380495548249,1.0,26.25779278587706,-0.7288658089107938,0.007250406644552162,0.0,0.7999999999999998,-0.007086174130439759,0.9600000000000007,0.9944276578783989,4.4310000000000045,0.01827623635677812,0.0,0.0
balanced_sample_ratio,0.0,0.0,0.9789920258522034,0.7369527652263641,2.0,27.335287973687638,-0.9444240522384644,0.009634857503697277,0.0,0.8086427407264708,0.02312895816564561,0.9600005847215659,0.9735908317327496,4.431001071989541,0.01901712060208163,0.0036462349022424235,0.0
balanced_sample_ratio,0.0,0.0,1.6829748964309692,0.7495635821819306,3.0,26.421544046589894,-1.2106909990310668,0.02077983310446143,0.0,0.7999999999999998,-0.002382261872291565,0.9600000000000007,0.9628709551453589,4.4310000000000045,0.019294774183375017,0.0007577146370576715,0.0
low_old_mix,0.0,0.0,1.6408631801605225,0.3869431655406952,0.0,26.521008162807078,-0.13031095042824745,0.04219648038576308,0.0,0.7999999999999998,0.0005305781364440916,0.9603148205280307,1.2714655999064441,4.431577170968057,0.02097090367078266,0.001836030615052539,0.0
low_old_mix,0.0,0.0,1.6053787994384765,0.25203252971172335,1.0,26.65582606326432,-0.3639260166221195,0.0033064854490619743,0.0,0.7999999999999998,0.00386887502670288,0.9608460216522217,1.3867593750059604,4.432551039695742,0.019689918967856962,0.0,0.0
low_old_mix,0.0,0.0,0.934682891368866,0.06918182277679444,2.0,29.50773365330903,-0.6514929008483886,0.002033626131596975,0.0,0.8220695085525513,0.082215811252594,0.9634301326274871,1.5451972720384597,4.437288576483726,0.0189417526716779,0.0,0.0
low_old_mix,1.0,0.0,0.5588577432930469,0.013882862567901612,3.0,39.74683629505101,-1.0378349423408508,0.009047100476454944,0.0,0.8883802863061427,0.2913636192679405,0.9656191629320382,1.5947552569046615,4.521301798708738,0.017516197711817196,0.0,0.2
high_rare_ratio,0.0,0.0,1.1262598741054535,0.42155706548690797,0.0,26.654294711266626,-0.490795823931694,0.033483139067692194,0.0,0.8000198996067046,0.004689445853233337,0.9611571403741839,1.2430264914393423,4.433121424019337,0.01713450960306357,0.022357922576768403,0.0
high_rare_ratio,0.0,0.0,0.8211047077178955,0.20828930974006654,1.0,30.461557675108217,-0.7165994379255507,0.007475126902327726,0.0,0.8364969515800474,0.10940974575281145,0.9606458702087407,1.4237076019644739,4.432184095382695,0.017574436072284916,0.0,0.0
high_rare_ratio,0.0,0.0,1.232392909526825,0.11098332166671755,2.0,27.03194270281955,-0.901829149723053,0.006762947351671755,0.0,0.7999999999999998,0.01328019213676452,0.9628807325363159,1.5090250312089921,4.436281342983247,0.015958068000861067,0.0,0.0
high_rare_ratio,0.0,0.0,0.8264361941814422,0.12399950265884402,3.0,30.47388443474377,-1.1532684636116028,0.017351190028712153,0.0,0.8347564947605132,0.10945813792943956,0.9616568244695668,1.496533384621143,4.434037511527543,0.017708399970321347,0.0,0.0
