time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,applied_r,applied_b0,applied_omega_c,applied_k
4.125,x,gym_env,1.8619636297225952,-0.7876087427139282,0.009422838687896729,0.05449783429503441,0.0009699848596937954,-0.008576958440244198,3.062407970428467,0.019599605351686478,-0.11866121739149094,0.32499995827674866,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6464681267738341,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.145833333333333,x,gym_env,1.8618552684783936,-0.7884681224822998,0.009408651851117611,-0.0519360676407814,-0.021308794617652893,-0.002191837877035141,-3.0603418350219727,0.017161013558506966,-0.15448729693889618,0.3124999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6775703072547912,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.166666666666666,x,gym_env,1.8616161346435547,-0.7876448631286621,0.009432793594896793,0.04227084293961525,0.03842020034790039,0.003969221841543913,3.077171564102173,-0.05032436177134514,-0.19079846143722534,0.29999998211860657,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.677008295059204,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.1875,x,gym_env,1.8621381521224976,-0.7882899641990662,0.009483329020440578,-0.02564956247806549,-0.05018792301416397,0.008104589767754078,-3.1067569255828857,0.06995946913957596,-0.22746524214744568,0.28749996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6931307673454286,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.208333333333333,x,gym_env,1.8613958358764648,-0.7879396677017212,0.009458896704018116,-0.0038258577696979046,0.053910572081804276,-0.00802970863878727,3.1380743980407715,-0.08078554272651672,-0.26498109102249146,0.2749999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.711944568157196,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.229166666666666,x,gym_env,1.8622486591339111,-0.788010835647583,0.00943392887711525,0.02347942441701889,-0.051074154675006866,-0.003344399854540825,3.109325647354126,0.07596804201602936,-0.3033822774887085,0.26249995827674866,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.710752022266388,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.25,x,gym_env,1.8614323139190674,-0.7882906198501587,0.00942249596118927,-0.040901828557252884,0.04040510579943657,0.00216407747939229,-3.079803228378296,-0.05369338393211365,-0.3407469093799591,0.2499999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.7422974228858947,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.270833333333333,x,gym_env,1.8620485067367554,-0.7877378463745117,0.009446761570870876,0.05124453082680702,-0.023282619193196297,0.00748929288238287,3.065548896789551,0.020899910479784012,-0.3762631118297577,0.23749996721744537,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.7333516836166383,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.291666666666666,x,gym_env,1.8617278337478638,-0.7885032296180725,0.0094341104850173,-0.05438100919127464,-0.006596116349101067,-0.00669665914028883,-3.061018705368042,0.0127805070951581,-0.41187793016433716,0.22499996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.7667295575141906,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.3125,x,gym_env,1.861750602722168,-0.7876458168029785,0.009453280828893185,0.04989424720406532,0.026134712621569633,-0.0010293892119079828,3.073835611343384,-0.04685123637318611,-0.4479598104953766,0.2124999612569809,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.761961781978607,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
