time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,stage_index,active_param_set,switched_r,switched_b0,switched_omega_c,switched_k
3.895833333333333,x,gym_env,1.8681504726409912,7.252950126712676e-06,0.013489842414855957,1.5219000033539487e-06,5.357262125471607e-06,1.269988281205059e-10,-3.141572952270508,-2.801929667839431e-06,-3.141328811645508,0.4624999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.495650851726532,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.9166666666666665,x,gym_env,1.8681505918502808,7.364558769040741e-06,0.013489842414855957,1.5218932958305231e-06,5.357206191547448e-06,1.2699914730962547e-10,-3.141572952270508,-2.801929667839431e-06,-3.141326427459717,0.44999998807907104,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5081508994102477,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.9375,x,gym_env,1.8681505918502808,7.476166501874104e-06,0.013489843346178532,1.5218865883070976e-06,5.357149802875938e-06,1.2700722418212962e-10,-3.141572952270508,-2.8019294404657558e-06,-3.141324043273926,0.4374999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.520650827884674,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.958333333333333,x,gym_env,1.8681505918502808,7.5877733252127655e-06,0.013489843346178532,1.521879880783672e-06,5.357093414204428e-06,1.270125254970722e-10,-3.141572952270508,-2.8019292130920803e-06,-3.1413214206695557,0.42499998211860657,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5331508755683898,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
3.9791666666666665,x,gym_env,1.8681505918502808,7.699378329562023e-06,0.013489843346178532,1.5218731732602464e-06,5.357037025532918e-06,1.2701842355689053e-10,-3.141572952270508,-2.801928985718405e-06,-3.1413190364837646,0.41249996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5456510424613952,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
4.0,x,gym_env,1.8681507110595703,7.81098242441658e-06,0.013489843346178532,1.5218665794236585e-06,5.356980636861408e-06,1.270222815819011e-10,-3.141572952270508,-2.801928985718405e-06,-3.1413166522979736,0.3999999761581421,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5581509709358214,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
4.020833333333333,x,gym_env,1.8681507110595703,7.922585609776434e-06,0.013489843346178532,1.521859871900233e-06,5.356924248189898e-06,1.2703119112167371e-10,-3.141572952270508,-2.8019287583447294e-06,-3.1413142681121826,0.38749998807907104,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5706508994102477,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
4.041666666666666,x,gym_env,1.8681507110595703,8.034187885641586e-06,0.013489843346178532,1.5218531643768074e-06,5.356868314265739e-06,1.270329536007253e-10,-3.141572952270508,-2.801928530971054e-06,-3.1413116455078125,0.3749999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.5831509470939635,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
4.0625,x,gym_env,1.8681507110595703,8.145788342517335e-06,0.013489843346178532,1.5218464568533818e-06,5.356811925594229e-06,1.2704227947413216e-10,-3.141572952270508,-2.8019283035973785e-06,-3.1413092613220215,0.36249998211860657,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.595651113986969,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
4.083333333333333,x,gym_env,1.8681508302688599,8.257387889898382e-06,0.013489843346178532,1.5218397493299562e-06,5.356755536922719e-06,1.2704232110749558e-10,-3.141572952270508,-2.801928076223703e-06,-3.1413068771362305,0.34999996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.6081510424613952,0.0,0.0,0.0,27.45,3.15,3.08,59.5,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,2.0,1.0,59.5,27.45,3.15,3.08
